,Accession,Host,Isolation Host
156,ON645339,Streptomyces,Unspecified
157,ON645338,Arthrobacter,Unspecified
158,ON456349,Gordonia,Unspecified
159,ON456348,Streptomyces,Unspecified
160,ON456355,Gordonia,Unspecified
161,ON456345,Mycobacterium,Unspecified
162,ON456343,Streptomyces,Unspecified
163,ON456342,Mycobacterium,Unspecified
164,ON456340,Arthrobacter,Unspecified
165,ON456338,Streptomyces,Unspecified
166,ON456337,Gordonia,Unspecified
167,ON456336,Gordonia,Unspecified
168,ON456335,Arthrobacter,Unspecified
169,ON456334,Gordonia,Unspecified
170,ON456333,Gordonia,Unspecified
171,ON337196,Mycobacterium,Unspecified
172,ON337194,Microbacterium,Unspecified
173,ON526984,Mycobacterium,Unspecified
174,ON526982,Mycobacterium,Unspecified
175,ON526981,Gordonia,Unspecified
176,ON526972,Microbacterium,Unspecified
177,ON526971,Gordonia,Unspecified
178,ON526969,Microbacterium,Unspecified
179,ON677304,Mycobacterium,Unspecified
180,ON208830,Streptomyces,Unspecified
181,ON208829,Mycobacterium,Unspecified
182,ON637770,Microbacterium,Unspecified
183,ON637771,Mycobacterium,Unspecified
184,ON637764,Mycobacterium,Unspecified
185,ON637761,Gordonia,Unspecified
186,ON637760,Mycobacterium,Unspecified
187,ON260823,Microbacterium,Unspecified
188,ON260827,Microbacterium,Unspecified
189,ON260824,Mycobacterium,Unspecified
190,ON260822,Arthrobacter,Unspecified
191,ON260820,Microbacterium,Unspecified
192,ON260816,Mycobacterium,Unspecified
193,ON260815,Microbacterium,Unspecified
194,ON260813,Gordonia,Unspecified
195,ON392167,Mycobacterium,Unspecified
196,ON392161,Microbacterium,Unspecified
197,ON392159,Gordonia,Unspecified
198,ON081336,Streptomyces,Unspecified
199,ON081335,Mycobacterium,Unspecified
200,ON081332,Gordonia,Unspecified
201,ON081330,Microbacterium,Unspecified
202,OM913585,Mycobacterium,Unspecified
203,ON108650,Streptomyces,Unspecified
204,ON108646,Streptomyces,Unspecified
205,ON108644,Gordonia,Unspecified
206,ON108640,Mycobacterium,Unspecified
207,OM818328,Gordonia,Unspecified
208,OL829978,Streptomyces,Unspecified
209,OL829977,Gordonia,Unspecified
210,OL742561,Mycobacterium,Unspecified
211,OL742560,Arthrobacter,Unspecified
212,OL455900,Arthrobacter,Unspecified
213,OL455899,Mycobacterium,Unspecified
214,OL455898,Mycobacterium,Unspecified
215,OL455895,Gordonia,Unspecified
216,OL455893,Mycobacterium,Unspecified
217,OL455890,Gordonia,Unspecified
218,OL455889,Mycobacterium,Unspecified
219,OL455887,Gordonia,Unspecified
220,OM105885,Mycobacterium,Unspecified
221,OM105884,Mycobacterium,Unspecified
222,OM203162,Mycobacterium,Unspecified
223,OM203161,Mycobacterium,Unspecified
224,OM203159,Mycobacterium,Unspecified
225,OM203158,Mycobacterium,Unspecified
226,OL549190,Mycobacterium,Unspecified
227,OK310505,Mycobacterium,Unspecified
228,OK310503,Arthrobacter,Unspecified
229,OK310502,Streptomyces,Unspecified
230,OK999980,Arthrobacter,Unspecified
231,OK999979,Microbacterium,Unspecified
232,OK999978,Mycobacterium,Unspecified
233,MZ958748,Mycobacterium,Unspecified
234,MZ958747,Mycobacterium,Unspecified
235,MZ958745,Mycobacterium,Unspecified
236,OK040793,Microbacterium,Unspecified
237,OK040791,Mycobacterium,Unspecified
238,OK040790,Microbacterium,Unspecified
239,OK040789,Mycobacterium,Unspecified
240,OK040786,Gordonia,Unspecified
241,OK040784,Mycobacterium,Unspecified
242,OK040782,Mycobacterium,Unspecified
243,OK040779,Microbacterium,Unspecified
244,OK040778,Mycobacterium,Unspecified
245,OK318960,Mycobacterium,Unspecified
246,OK318959,Mycobacterium,Unspecified
247,OK318958,Microbacterium,Unspecified
248,OK318957,Microbacterium,Unspecified
249,MZ747522,Arthrobacter,Unspecified
250,MZ747521,Mycobacterium,Unspecified
251,MZ747520,Arthrobacter,Unspecified
252,MZ747519,Mycobacterium,Unspecified
253,MZ747517,Mycobacterium,Unspecified
254,MZ747514,Mycobacterium,Unspecified
255,MZ747513,Microbacterium,Unspecified
256,MZ747509,Mycobacterium,Unspecified
257,MZ681518,Mycobacterium,Unspecified
258,MZ681516,Mycobacterium,Unspecified
259,MZ681511,Mycobacterium,Unspecified
260,MZ681510,Gordonia,Unspecified
261,MZ681508,Gordonia,Unspecified
262,MZ681505,Mycobacterium,Unspecified
263,MZ856343,Mycobacterium,Unspecified
264,MZ820095,Streptomyces,Unspecified
265,MZ820094,Streptomyces,Unspecified
266,MZ820093,Streptomyces,Unspecified
267,MZ820090,Mycobacterium,Unspecified
268,MZ820086,Streptomyces,Unspecified
269,MZ820085,Mycobacterium,Unspecified
270,MZ622183,Mycobacterium,Unspecified
271,MZ622182,Microbacterium,Unspecified
272,MZ622181,Mycobacterium,Unspecified
273,MZ622179,Microbacterium,Unspecified
274,MZ622177,Gordonia,Unspecified
275,MZ622176,Gordonia,Unspecified
276,MZ622173,Mycobacterium,Unspecified
277,MZ622171,Mycobacterium,Unspecified
278,MZ622168,Gordonia,Unspecified
279,MZ622162,Mycobacterium,Unspecified
280,MZ622159,Mycobacterium,Unspecified
281,MZ622158,Mycobacterium,Unspecified
282,MZ648035,Microbacterium,Unspecified
283,MZ648034,Mycobacterium,Unspecified
284,MZ171381,Mycobacterium,Unspecified
285,MZ171380,Mycobacterium,Unspecified
286,MZ171376,Mycobacterium,Unspecified
287,MZ171375,Mycobacterium,Unspecified
288,MZ171374,Gordonia,Unspecified
289,MZ171373,Mycobacterium,Unspecified
290,MZ388555,Mycobacterium,Unspecified
291,MZ388553,Gordonia,Unspecified
292,MZ388552,Gordonia,Unspecified
293,MZ388551,Mycobacterium,Unspecified
294,MZ274306,Mycobacterium,Unspecified
295,MZ274305,Mycobacterium,Unspecified
296,MZ456036,Mycobacterium,Unspecified
297,MZ456035,Microbacterium,Unspecified
298,MZ456034,Mycobacterium,Unspecified
299,MZ005685,Mycobacterium,Unspecified
300,MZ005679,Mycobacterium,Unspecified
301,MZ005673,Mycobacterium,Unspecified
302,MZ209307,Arthrobacter,Unspecified
303,MZ209305,Mycobacterium,Unspecified
304,MZ209300,Arthrobacter,Unspecified
305,MZ322026,Microbacterium,Unspecified
306,MZ322025,Mycobacterium,Unspecified
307,MZ322023,Mycobacterium,Unspecified
308,MZ322021,Gordonia,Unspecified
309,MZ322020,Gordonia,Unspecified
310,MZ322019,Mycobacterium,Unspecified
311,MZ322017,Mycobacterium,Unspecified
312,MZ322015,Gordonia,Unspecified
313,MZ322013,Gordonia,Unspecified
314,MZ322012,Microbacterium,Unspecified
315,MZ322009,Gordonia,Unspecified
316,MZ322007,Mycobacterium,Unspecified
317,MZ322005,Mycobacterium,Unspecified
318,MZ322004,Mycobacterium,Unspecified
319,AF022214,Mycobacterium,Unspecified
320,MZ150792,Microbacterium,Unspecified
321,MZ150788,Gordonia,Unspecified
322,MZ150785,Gordonia,Unspecified
323,MW862992,Arthrobacter,Unspecified
324,MW862990,Mycobacterium,Unspecified
325,MW862989,Mycobacterium,Unspecified
326,MW862985,Mycobacterium,Unspecified
327,MW862984,Mycobacterium,Unspecified
328,MW862983,Mycobacterium,Unspecified
329,MW862982,Arthrobacter,Unspecified
330,MW862981,Microbacterium,Unspecified
331,MW862979,Mycobacterium,Unspecified
332,MW712735,Arthrobacter,Unspecified
333,MW712734,Mycobacterium,Unspecified
334,MW712733,Mycobacterium,Unspecified
335,MW712732,Mycobacterium,Unspecified
336,MW712731,Mycobacterium,Unspecified
337,MW712730,Mycobacterium,Unspecified
338,MW712729,Mycobacterium,Unspecified
339,MW712725,Gordonia,Unspecified
340,MW712723,Mycobacterium,Unspecified
341,MW712722,Mycobacterium,Unspecified
342,MW712719,Arthrobacter,Unspecified
343,MW712718,Mycobacterium,Unspecified
344,MW712717,Gordonia,Unspecified
345,MW822149,Mycobacterium,Unspecified
346,MW822148,Mycobacterium,Unspecified
347,MW822146,Gordonia,Unspecified
348,MW822145,Streptomyces,Unspecified
349,MW822143,Mycobacterium,Unspecified
350,MZ355728,Mycobacterium,Unspecified
351,MZ355726,Mycobacterium,Unspecified
352,MZ355725,Mycobacterium,Unspecified
353,MZ355724,Microbacterium,Unspecified
354,MZ355723,Mycobacterium,Unspecified
355,MZ355722,Mycobacterium,Unspecified
356,MZ028627,Gordonia,Unspecified
357,MZ028625,Gordonia,Unspecified
358,MW924650,Gordonia,Unspecified
359,MW924648,Gordonia,Unspecified
360,MW924647,Microbacterium,Unspecified
361,MW924645,Gordonia,Unspecified
362,MW924644,Mycobacterium,Unspecified
363,MW924643,Mycobacterium,Unspecified
364,MW924640,Microbacterium,Unspecified
365,MW601225,Gordonia,Unspecified
366,MW601224,Microbacterium,Unspecified
367,MW601223,Arthrobacter,Unspecified
368,MW601221,Microbacterium,Unspecified
369,MW601220,Gordonia,Unspecified
370,MW601217,Microbacterium,Unspecified
371,MW601216,Mycobacterium,Unspecified
372,MW578837,Microbacterium,Unspecified
373,MW578836,Mycobacterium,Unspecified
374,MW578835,Mycobacterium,Unspecified
375,MW507134,Streptomyces,Unspecified
376,MW507131,Arthrobacter,Unspecified
377,MW507128,Mycobacterium,Unspecified
378,MW507123,Mycobacterium,Unspecified
379,MW435858,Mycobacterium,Unspecified
380,MW435856,Streptomyces,Unspecified
381,MW435855,Mycobacterium,Unspecified
382,MW435853,Streptomyces,Unspecified
383,MW365953,Streptomyces,Unspecified
384,MW365952,Streptomyces,Unspecified
385,MW132714,Mycobacterium,Unspecified
386,MW132713,Gordonia,Unspecified
387,MW055915,Mycobacterium,Unspecified
388,MW055904,Mycobacterium,Unspecified
389,MW055902,Mycobacterium,Unspecified
390,MW314850,Gordonia,Unspecified
391,MW314849,Gordonia,Unspecified
392,MW314847,Gordonia,Unspecified
393,MW291027,Rhodococcus,Unspecified
394,MW291024,Mycobacterium,Unspecified
395,MW291023,Mycobacterium,Unspecified
396,MW291022,Gordonia,Unspecified
397,MW291021,Streptomyces,Unspecified
398,MW291019,Mycobacterium,Unspecified
399,MW291017,Streptomyces,Unspecified
400,MW291014,Streptomyces,Unspecified
401,MW291012,Mycobacterium,Unspecified
402,MT986028,Arthrobacter,Unspecified
403,MT889398,Gordonia,Unspecified
404,MT889397,Mycobacterium,Unspecified
405,MT889396,Mycobacterium,Unspecified
406,MT889395,Mycobacterium,Unspecified
407,MT889394,Arthrobacter,Unspecified
408,MT889391,Mycobacterium,Unspecified
409,MT889390,Mycobacterium,Unspecified
410,MT889388,Arthrobacter,Unspecified
411,MT889386,Mycobacterium,Unspecified
412,MT889384,Mycobacterium,Unspecified
413,MT889383,Mycobacterium,Unspecified
414,MT889382,Mycobacterium,Unspecified
415,MT889380,Mycobacterium,Unspecified
416,MT889374,Mycobacterium,Unspecified
417,MT889373,Arthrobacter,Unspecified
418,MT889370,Gordonia,Unspecified
419,MT952853,Arthrobacter,Unspecified
420,MT952852,Streptomyces,Unspecified
421,MT952851,Mycobacterium,Unspecified
422,MT952849,Mycobacterium,Unspecified
423,MT952847,Mycobacterium,Unspecified
424,MT952844,Gordonia,Unspecified
425,MT952843,Gordonia,Unspecified
426,MT818426,Microbacterium,Unspecified
427,MT818423,Mycobacterium,Unspecified
428,MT818417,Mycobacterium,Unspecified
429,MT818416,Mycobacterium,Unspecified
430,MT818415,Microbacterium,Unspecified
431,MT771350,Microbacterium,Unspecified
432,MT771349,Mycobacterium,Unspecified
433,MT771340,Mycobacterium,Unspecified
434,MT897907,Mycobacterium,Unspecified
435,MT897906,Arthrobacter,Unspecified
436,MT897904,Mycobacterium,Unspecified
437,MT684601,Mycobacterium,Unspecified
438,MT684599,Gordonia,Unspecified
439,MT684598,Streptomyces,Unspecified
440,MT684597,Mycobacterium,Unspecified
441,MT684596,Streptomyces,Unspecified
442,MT684595,Mycobacterium,Unspecified
443,MT684593,Mycobacterium,Unspecified
444,MT684588,Mycobacterium,Unspecified
445,MT684586,Mycobacterium,Unspecified
446,MT657342,Mycobacterium,Unspecified
447,MT657341,Mycobacterium,Unspecified
448,MT657339,Gordonia,Unspecified
449,MT657338,Mycobacterium,Unspecified
450,MT657337,Microbacterium,Unspecified
451,MT657336,Microbacterium,Unspecified
452,MT657331,Mycobacterium,Unspecified
453,MT776812,Mycobacterium,Unspecified
454,MT776811,Arthrobacter,Unspecified
455,MT723945,Mycobacterium,Unspecified
456,MT723944,Mycobacterium,Unspecified
457,MT723941,Gordonia,Unspecified
458,MT723940,Mycobacterium,Unspecified
459,MT723939,Mycobacterium,Unspecified
460,MT723937,Gordonia,Unspecified
461,MT723934,Gordonia,Unspecified
462,MT723932,Mycobacterium,Unspecified
463,MT658805,Gordonia,Unspecified
464,MT658804,Mycobacterium,Unspecified
465,MT658803,Mycobacterium,Unspecified
466,MT658802,Mycobacterium,Unspecified
467,MT639654,Mycobacterium,Unspecified
468,MT639652,Mycobacterium,Unspecified
469,MT639645,Mycobacterium,Unspecified
470,MT639644,Mycobacterium,Unspecified
471,MT639640,Gordonia,Unspecified
472,MT522007,Gordonia,Unspecified
473,MT522005,Mycobacterium,Unspecified
474,MT522004,Mycobacterium,Unspecified
475,MT522002,Mycobacterium,Unspecified
476,MT522001,Microbacterium,Unspecified
477,MT522000,Mycobacterium,Unspecified
478,MT521999,Gordonia,Unspecified
479,MT521997,Gordonia,Unspecified
480,MT521994,Gordonia,Unspecified
481,MT521993,Gordonia,Unspecified
482,MT521992,Rhodococcus,Unspecified
483,MT498066,Mycobacterium,Unspecified
484,MT498061,Mycobacterium,Unspecified
485,MT498060,Mycobacterium,Unspecified
486,MT498058,Gordonia,Unspecified
487,MT498056,Mycobacterium,Unspecified
488,MT498055,Arthrobacter,Unspecified
489,MT498054,Gordonia,Unspecified
490,MT498048,Mycobacterium,Unspecified
491,MT498044,Mycobacterium,Unspecified
492,MT498042,Mycobacterium,Unspecified
493,MT498041,Mycobacterium,Unspecified
494,MT498036,Gordonia,Unspecified
495,MT498035,Gordonia,Unspecified
496,MT490373,Mycobacterium,Unspecified
497,MT553347,Mycobacterium,Unspecified
498,MT553346,Mycobacterium,Unspecified
499,MT553345,Mycobacterium,Unspecified
500,MT553344,Gordonia,Unspecified
501,MT553341,Microbacterium,Unspecified
502,MT553339,Microbacterium,Unspecified
503,MT553338,Mycobacterium,Unspecified
504,MT553337,Mycobacterium,Unspecified
505,MT553336,Gordonia,Unspecified
506,MT553335,Mycobacterium,Unspecified
507,MT451985,Microbacterium,Unspecified
508,MT310898,Streptomyces,Unspecified
509,MT310897,Mycobacterium,Unspecified
510,MT310896,Microbacterium,Unspecified
511,MT310895,Arthrobacter,Unspecified
512,MT310894,Microbacterium,Unspecified
513,MT310893,Mycobacterium,Unspecified
514,MT310886,Mycobacterium,Unspecified
515,MT310885,Mycobacterium,Unspecified
516,MT310884,Mycobacterium,Unspecified
517,MT310883,Mycobacterium,Unspecified
518,MT310881,Mycobacterium,Unspecified
519,MT310880,Mycobacterium,Unspecified
520,MT310879,Mycobacterium,Unspecified
521,MT310878,Mycobacterium,Unspecified
522,MT310877,Mycobacterium,Unspecified
523,MT310876,Mycobacterium,Unspecified
524,MT310874,Arthrobacter,Unspecified
525,MT310872,Gordonia,Unspecified
526,MT310871,Mycobacterium,Unspecified
527,MT310865,Streptomyces,Unspecified
528,MT310863,Streptomyces,Unspecified
529,MT310862,Streptomyces,Unspecified
530,MT310860,Mycobacterium,Unspecified
531,MT310858,Mycobacterium,Unspecified
532,MT310857,Mycobacterium,Unspecified
533,MT310853,Microbacterium,Unspecified
534,MT310850,Gordonia,Unspecified
535,MT114167,Mycobacterium,Unspecified
536,MT114166,Microbacterium,Unspecified
537,MT114165,Mycobacterium,Unspecified
538,MT114164,Mycobacterium,Unspecified
539,MT114163,Mycobacterium,Unspecified
540,MT114162,Streptomyces,Unspecified
541,MT114161,Arthrobacter,Unspecified
542,MT114158,Mycobacterium,Unspecified
543,MT024872,Streptomyces,Unspecified
544,MT024868,Arthrobacter,Unspecified
545,MT024866,Mycobacterium,Unspecified
546,MT024865,Streptomyces,Unspecified
547,MT024861,Mycobacterium,Unspecified
548,MT024860,Microbacterium,Unspecified
549,MN945902,Rhodococcus,Unspecified
550,MN945901,Mycobacterium,Unspecified
551,MN945900,Mycobacterium,Unspecified
552,MN908694,Microbacterium,Unspecified
553,MN908693,Gordonia,Unspecified
554,MN908691,Gordonia,Unspecified
555,MN908688,Mycobacterium,Unspecified
556,MN908687,Gordonia,Unspecified
557,MN908685,Microbacterium,Unspecified
558,MN908683,Mycobacterium,Unspecified
559,MN892487,Mycobacterium,Unspecified
560,MN892486,Mycobacterium,Unspecified
561,MN892484,Mycobacterium,Unspecified
562,MN735434,Mycobacterium,Unspecified
563,MN735433,Mycobacterium,Unspecified
564,MN735432,Mycobacterium,Unspecified
565,MN735431,Mycobacterium,Unspecified
566,MN807250,Mycobacterium,Unspecified
567,MN807249,Mycobacterium,Unspecified
568,MN807248,Mycobacterium,Unspecified
569,MN807247,Mycobacterium,Unspecified
570,MN813700,Mycobacterium,Unspecified
571,MN813699,Mycobacterium,Unspecified
572,MN813697,Mycobacterium,Unspecified
573,MN813696,Mycobacterium,Unspecified
574,MN813693,Mycobacterium,Unspecified
575,MN813692,Cutibacterium,Unspecified
576,MN813691,Cutibacterium,Unspecified
577,MN813690,Cutibacterium,Unspecified
578,MN813689,Cutibacterium,Unspecified
579,MN813688,Cutibacterium,Unspecified
580,MN813686,Mycobacterium,Unspecified
581,MN813685,Gordonia,Unspecified
582,MN813683,Cutibacterium,Unspecified
583,MN813681,Mycobacterium,Unspecified
584,MN813679,Cutibacterium,Unspecified
585,MN813678,Mycobacterium,Unspecified
586,MN813677,Cutibacterium,Unspecified
587,MN813675,Cutibacterium,Unspecified
588,MN703409,Arthrobacter,Unspecified
589,MN703408,Mycobacterium,Unspecified
590,MN703405,Mycobacterium,Unspecified
591,MN728684,Mycobacterium,Unspecified
592,MN728683,Mycobacterium,Unspecified
593,MN586031,Gordonia,Unspecified
594,MN586063,Mycobacterium,Unspecified
595,MN586062,Mycobacterium,Unspecified
596,MN586060,Mycobacterium,Unspecified
597,MN586059,Microbacterium,Unspecified
598,MN586048,Mycobacterium,Unspecified
599,MN586047,Gordonia,Unspecified
600,MN586046,Mycobacterium,Unspecified
601,MN586045,Mycobacterium,Unspecified
602,MN586043,Mycobacterium,Unspecified
603,MN586042,Microbacterium,Unspecified
604,MN586040,Gordonia,Unspecified
605,MN586039,Mycobacterium,Unspecified
606,MN586038,Mycobacterium,Unspecified
607,MN586037,Mycobacterium,Unspecified
608,MN586029,Mycobacterium,Unspecified
609,MN586028,Gordonia,Unspecified
610,MN586026,Gordonia,Unspecified
611,MN586024,Mycobacterium,Unspecified
612,MN586021,Arthrobacter,Unspecified
613,MN586020,Microbacterium,Unspecified
614,MN586016,Mycobacterium,Unspecified
615,MN586012,Mycobacterium,Unspecified
616,MN586011,Mycobacterium,Unspecified
617,MN586009,Streptomyces,Unspecified
618,MN586007,Microbacterium,Unspecified
619,MN586006,Mycobacterium,Unspecified
620,MN586005,Mycobacterium,Unspecified
621,MN586004,Mycobacterium,Unspecified
622,MN586002,Mycobacterium,Unspecified
623,MN586001,Mycobacterium,Unspecified
624,MN586000,Mycobacterium,Unspecified
625,MN585999,Mycobacterium,Unspecified
626,MN585998,Mycobacterium,Unspecified
627,MN585997,Mycobacterium,Unspecified
628,MN585995,Mycobacterium,Unspecified
629,MN585994,Mycobacterium,Unspecified
630,MN585993,Mycobacterium,Unspecified
631,MN585992,Mycobacterium,Unspecified
632,MN585991,Mycobacterium,Unspecified
633,MN585989,Mycobacterium,Unspecified
634,MN585988,Gordonia,Unspecified
635,MN585987,Mycobacterium,Unspecified
636,MN585986,Microbacterium,Unspecified
637,MN585985,Mycobacterium,Unspecified
638,MN585984,Mycobacterium,Unspecified
639,MN585983,Mycobacterium,Unspecified
640,MN585981,Mycobacterium,Unspecified
641,MN585980,Microbacterium,Unspecified
642,MN585979,Mycobacterium,Unspecified
643,MN585978,Mycobacterium,Unspecified
644,MN585977,Mycobacterium,Unspecified
645,MN585976,Mycobacterium,Unspecified
646,MN585975,Mycobacterium,Unspecified
647,MN585974,Mycobacterium,Unspecified
648,MN585973,Mycobacterium,Unspecified
649,MN585971,Gordonia,Unspecified
650,MN585970,Mycobacterium,Unspecified
651,MN585969,Mycobacterium,Unspecified
652,MN585968,Mycobacterium,Unspecified
653,MN369765,Microbacterium,Unspecified
654,MN369764,Mycobacterium,Unspecified
655,MN369763,Mycobacterium,Unspecified
656,MN369762,Mycobacterium,Unspecified
657,MN369760,Mycobacterium,Unspecified
658,MN369758,Gordonia,Unspecified
659,MN369756,Gordonia,Unspecified
660,MN369754,Streptomyces,Unspecified
661,MN369748,Mycobacterium,Unspecified
662,MN369741,Mycobacterium,Unspecified
663,MN444877,Microbacterium,Unspecified
664,MN444870,Gordonia,Unspecified
665,MN444869,Mycobacterium,Unspecified
666,MN497953,Mycobacterium,Unspecified
667,MN617845,Mycobacterium,Unspecified
668,MN617844,Mycobacterium,Unspecified
669,MN617843,Mycobacterium,Unspecified
670,MN617840,Microbacterium,Unspecified
671,MN484600,Arthrobacter,Unspecified
672,MN310548,Mycobacterium,Unspecified
673,MN428066,Mycobacterium,Unspecified
674,MN428061,Mycobacterium,Unspecified
675,MN428060,Streptomyces,Unspecified
676,MN428059,Mycobacterium,Unspecified
677,MN428056,Mycobacterium,Unspecified
678,MN428054,Mycobacterium,Unspecified
