,Accession,Host,Isolation Host
4409,NC_022325,Mycobacterium,Unspecified
4410,NC_022324,Mycobacterium,Unspecified
4411,NC_022090,Staphylococcus,Unspecified
4412,NC_022087,Mycobacterium,Unspecified
4413,NC_022086,Mycobacterium,Unspecified
4414,NC_022085,Mycobacterium,Unspecified
4415,NC_022071,Mycobacterium,Unspecified
4416,NC_022070,Mycobacterium,Unspecified
4417,NC_022069,Mycobacterium,Unspecified
4418,NC_022068,Mycobacterium,Unspecified
4419,NC_022067,Mycobacterium,Unspecified
4420,NC_022066,Mycobacterium,Unspecified
4421,NC_022065,Mycobacterium,Unspecified
4422,NC_022064,Mycobacterium,Unspecified
4423,NC_022063,Mycobacterium,Unspecified
4424,NC_022062,Mycobacterium,Unspecified
4425,NC_022061,Mycobacterium,Unspecified
4426,NC_022060,Mycobacterium,Unspecified
4427,NC_022059,Mycobacterium,Unspecified
4428,NC_022058,Mycobacterium,Unspecified
4429,NC_022057,Mycobacterium,Unspecified
4430,NC_022056,Mycobacterium,Unspecified
4431,NC_022055,Mycobacterium,Unspecified
4432,NC_022053,Mycobacterium,Unspecified
4433,NC_022052,Mycobacterium,Unspecified
4434,NC_021868,Streptococcus,Unspecified
4435,NC_021865,Paenibacillus,Unspecified
4436,NC_021860,Lactococcus,Unspecified
4437,NC_021855,Lactococcus,Unspecified
4438,NC_021854,Lactococcus,Unspecified
4439,NC_021853,Lactococcus,Unspecified
4440,NC_021852,Lactococcus,Unspecified
4441,NC_021785,Listeria,Unspecified
4442,NC_021784,Thermus,Unspecified
4443,NC_021777,Salmonella,Unspecified
4444,NC_021563,Serratia,Unspecified
4445,NC_021561,Vibrio,Unspecified
4446,NC_021560,Rhizobium,Unspecified
4447,NC_021559,Prochlorococcus,Unspecified
4448,NC_021558,Paenibacillus,Unspecified
4449,NC_021557,Rhizobium,Unspecified
4450,NC_021538,Mycobacterium,Unspecified
4451,NC_021535,Mycobacterium,Unspecified
4452,NC_021537,Halorubrum,Unspecified
4453,NC_021536,Synechococcus,Unspecified
4454,NC_021534,Vibrio,Unspecified
4455,NC_021530,Synechococcus,Unspecified
4456,NC_021471,Haloarcula,Unspecified
4457,NC_021349,Mycobacterium,Unspecified
4458,NC_021348,Mycobacterium,Unspecified
4459,NC_021346,Mycobacterium,Unspecified
4460,NC_021340,Haloarcula,Unspecified
4461,NC_021339,Streptomyces,Unspecified
4462,NC_021330,Haloarcula,Unspecified
4463,NC_021329,Halorubrum,Unspecified
4464,NC_021328,Halogranum,Unspecified
4465,NC_021327,Unspecified,Unspecified
4466,NC_021324,Mycobacterium,Unspecified
4467,NC_021322,Haloarcula,Unspecified
4468,NC_021319,Haloarcula,Unspecified
4469,NC_021311,Mycobacterium,Unspecified
4470,NC_021310,Mycobacterium,Unspecified
4471,NC_021309,Mycobacterium,Unspecified
4472,NC_021308,Mycobacterium,Unspecified
4473,NC_021307,Mycobacterium,Unspecified
4474,NC_021305,Mycobacterium,Unspecified
4475,NC_021304,Streptomyces,Unspecified
4476,NC_021302,Mycobacterium,Unspecified
4477,NC_021301,Mycobacterium,Unspecified
4478,NC_021299,Mycobacterium,Unspecified
4479,NC_021298,Streptomyces,Unspecified
4480,NC_021297,Mycobacterium,Unspecified
4481,NC_021073,Vibrio,Unspecified
4482,NC_021072,Synechococcus,Unspecified
4483,NC_021071,Prochlorococcus,Unspecified
4484,NC_021070,Vibrio,Unspecified
4485,NC_021068,Vibrio,Unspecified
4486,NC_021067,Vibrio,Unspecified
4487,NC_021063,Mycobacterium,Unspecified
4488,NC_021061,Mycobacterium,Unspecified
4489,NC_020882,Unspecified,Unspecified
4490,NC_020871,Listeria,Unspecified
4491,NC_020878,Prochlorococcus,Unspecified
4492,NC_020875,Synechococcus,Unspecified
4493,NC_020874,Prochlorococcus,Unspecified
4494,NC_020872,Prochlorococcus,Unspecified
4495,NC_020868,Vibrio,Unspecified
4496,NC_020867,Synechococcus,Unspecified
4497,NC_020866,Rhodovulum,Unspecified
4498,NC_020865,Synechococcus,Unspecified
4499,NC_020863,Vibrio,Unspecified
4500,NC_020860,Cellulophaga,Unspecified
4501,NC_020859,Synechococcus,Unspecified
4502,NC_020857,Prochlorococcus,Unspecified
4503,NC_020855,Prochlorococcus,Unspecified
4504,NC_020854,Synechococcus,Unspecified
4505,NC_020853,Loktanella,Unspecified
4506,NC_020851,Synechococcus,Unspecified
4507,NC_020850,Vibrio,Unspecified
4508,NC_020849,Pseudoalteromonas,Unspecified
4509,NC_020848,Vibrio,Unspecified
4510,NC_020847,Prochlorococcus,Unspecified
4511,NC_020846,Vibrio,Unspecified
4512,NC_020845,Prochlorococcus,Unspecified
4513,NC_020844,Unspecified,Unspecified
4514,NC_020843,Vibrio,Unspecified
4515,NC_020842,Cellulophaga,Unspecified
4516,NC_020841,Psychrobacter,Unspecified
4517,NC_020840,Tetraselmis,Unspecified
4518,NC_020839,Rhodobacter,Unspecified
4519,NC_020838,Synechococcus,Unspecified
4520,NC_020837,Synechococcus,Unspecified
4521,NC_020835,Prochlorococcus,Unspecified
4522,NC_020486,Synechococcus,Unspecified
4523,NC_020082,Edwardsiella,Unspecified
4524,NC_020079,Escherichia,Unspecified
4525,NC_020078,Cronobacter,Unspecified
4526,NC_020203,Pseudomonas,Unspecified
4527,NC_020202,Pseudomonas,Unspecified
4528,NC_020200,Pseudomonas,Unspecified
4529,NC_020199,Staphylococcus,Unspecified
4530,NC_020198,Pseudomonas,Unspecified
4531,NC_019782,Lactobacillus,Unspecified
4532,NC_020159,Halorubrum,Unspecified
4533,NC_020158,Haloarcula,Unspecified
4534,NC_019521,Sphingomonas,Unspecified
4535,NC_019519,Agrobacterium,Unspecified
4536,NC_019704,Enterobacteria,Unspecified
4537,NC_019926,Erwinia,Unspecified
4538,NC_019923,Pseudomonas,Unspecified
4539,NC_019921,Staphylococcus,Unspecified
4540,NC_019910,Salmonella,Unspecified
4541,NC_019769,Escherichia,Unspecified
4542,NC_019768,Escherichia,Unspecified
4543,NC_019767,Escherichia,Unspecified
4544,NC_019725,Escherichia,Unspecified
4545,NC_019724,Escherichia,Unspecified
4546,NC_019723,Escherichia,Unspecified
4547,NC_019722,Vibrio,Unspecified
4548,NC_019721,Enterobacteria,Unspecified
4549,NC_019720,Enterobacteria,Unspecified
4550,NC_019719,Escherichia,Unspecified
4551,NC_019718,Enterobacteria,Unspecified
4552,NC_019717,Enterobacteria,Unspecified
4553,NC_019716,Enterobacteria,Unspecified
4554,NC_019715,Escherichia,Unspecified
4555,NC_019714,Escherichia,Unspecified
4556,NC_019713,Vibrio,Unspecified
4557,NC_019711,Escherichia,Unspecified
4558,NC_019710,Enterobacteria,Unspecified
4559,NC_019709,Escherichia,Unspecified
4560,NC_019708,Enterobacteria,Unspecified
4561,NC_019706,Enterobacteria,Unspecified
4562,NC_019705,Escherichia,Unspecified
4563,NC_019544,Unspecified,Unspecified
4564,NC_019542,Pectobacterium,Unspecified
4565,NC_019540,Salinivibrio,Unspecified
4566,NC_019487,Bacillus,Unspecified
4567,NC_019444,Synechococcus,Unspecified
4568,NC_019443,Synechococcus,Unspecified
4569,NC_019420,Edwardsiella,Unspecified
4570,NC_019413,Unspecified,Unspecified
4571,NC_019404,Escherichia,Unspecified
4572,NC_018837,Pectobacterium,Unspecified
4573,NC_018279,Salmonella,Unspecified
4574,NC_018275,Salmonella,Unspecified
4575,NC_018088,Colwellia,Unspecified
4576,NC_017975,Unspecified,Unspecified
4577,NC_017972,Pseudomonas,Unspecified
4578,NC_016659,Prochlorococcus,Unspecified
4579,NC_016658,Prochlorococcus,Unspecified
4580,NC_016657,Prochlorococcus,Unspecified
4581,NC_016656,Prochlorococcus,Unspecified
4582,NC_016567,Vibrio,Unspecified
4583,NC_015933,Escherichia,Unspecified
4584,NC_015719,Escherichia,Unspecified
4585,NC_015454,Propionibacterium,Unspecified
4586,NC_015453,Propionibacterium,Unspecified
4587,NC_015295,Erwinia,Unspecified
4588,NC_015292,Erwinia,Unspecified
4589,NC_015290,Prochlorococcus,Unspecified
4590,NC_015289,Synechococcus,Unspecified
4591,NC_015288,Prochlorococcus,Unspecified
4592,NC_015287,Synechococcus,Unspecified
4593,NC_015286,Synechococcus,Unspecified
4594,NC_015285,Prochlorococcus,Unspecified
4595,NC_015284,Prochlorococcus,Unspecified
4596,NC_015283,Prochlorococcus,Unspecified
4597,NC_015282,Synechococcus,Unspecified
4598,NC_015281,Synechococcus,Unspecified
4599,NC_015280,Prochlorococcus,Unspecified
4600,NC_015279,Synechococcus,Unspecified
4601,NC_015208,Pseudomonas,Unspecified
4602,NC_014901,Mycobacterium,Unspecified
4603,NC_006884,Prochlorococcus,Unspecified
4604,NC_006883,Prochlorococcus,Unspecified
4605,NC_014660,Acinetobacter,Unspecified
4606,NC_014457,Clostridium,Unspecified
4607,NC_014321,Unspecified,Unspecified
4608,NC_013651,Vibrio,Unspecified
4609,NC_013650,Mycobacterium,Unspecified
4610,NC_013085,Synechococcus,Unspecified
4611,NC_012884,Streptococcus,Unspecified
4612,NC_012788,Mycobacterium,Unspecified
4613,NC_011703,Pseudomonas,Unspecified
4614,NC_011646,Unspecified,Haliotis diversicolor aquatilis
4615,NC_011645,Bacillus,Unspecified
4616,NC_011551,Unspecified,Candidatus Hamiltonella defensa
4617,NC_011357,Unspecified,Escherichia coli O157:H7
4618,NC_011292,Mycobacterium,Unspecified
4619,NC_011285,Mycobacterium,Unspecified
4620,NC_011290,Mycobacterium,Unspecified
4621,NC_011271,Mycobacterium,Unspecified
4622,NC_011270,Mycobacterium,Unspecified
4623,NC_011272,Mycobacterium,Unspecified
4624,NC_011273,Mycobacterium,Unspecified
4625,NC_011217,Sulfolobus,Unspecified
4626,NC_010325,Unspecified,Pseudomonas aeruginosa
4627,NC_010155,Acidianus,Unspecified
4628,NC_008695,Unspecified,Unspecified
4629,NC_008617,Staphylococcus,Unspecified
4630,NC_008584,Thermus,Unspecified
4631,NC_008562,Microcystis,Unspecified
4632,NC_008464,Unspecified,Escherichia coli
4633,NC_007918,Unspecified,Haloarcula hispanica
4634,NC_007914,Unspecified,Haloarcula hispanica
4635,NC_007710,Xanthomonas,Unspecified
4636,NC_007451,Enterobacteria,Unspecified
4637,NC_005886,Burkholderia,Unspecified
4638,NC_005830,Unspecified,Acidianus infernus
4639,NC_005259,Mycobacterium,Unspecified
4640,NC_004746,Lactococcus,Unspecified
4641,NC_003050,Streptococcus,Unspecified
4642,NC_001901,Escherichia,Unspecified
4643,NC_001338,Sulfolobus,Unspecified
4644,NC_056724,Lactococcus,Unspecified
4645,NC_054907,Enterobacteria,Unspecified
4646,NC_050152,Enterobacteria,Unspecified
4647,NC_049346,Lactococcus,Unspecified
4648,NC_047864,Enterobacteria,Unspecified
4649,NC_001978,Unspecified,Unspecified
4650,NC_021190,Enterobacteria,Unspecified
4651,NC_023744,Mycobacterium,Unspecified
4652,NC_022757,Lactobacillus,Unspecified
4653,NC_021857,Shigella,Unspecified
4654,NC_012635,Enterobacteria,Unspecified
4655,NC_011103,Rhizobium,Unspecified
4656,NC_001421,Enterobacteria,Unspecified
4657,NC_004166,Bacillus,Unspecified
4658,NC_004167,Bacillus,Unspecified
4659,NC_001447,Unspecified,Acholeplasma laidlawii
4660,NC_001335,Unspecified,Unspecified
4661,OM913587,Microbacterium,Unspecified
4662,OP917929,Acinetobacter,Unspecified
4663,OP889240,Enterococcus,Unspecified
4664,OP172657,Unspecified,OM05-12 sp003438995 DA166
4665,OP961731,Mycobacterium,Unspecified
4666,OP961730,Mycobacterium,Unspecified
4667,OP961729,Mycobacterium,Unspecified
4668,OP961728,Mycobacterium,Unspecified
4669,OP961727,Mycobacterium,Unspecified
4670,OP961726,Mycobacterium,Unspecified
4671,OP961725,Mycobacterium,Unspecified
4672,OP961724,Mycobacterium,Unspecified
4673,OP961723,Mycobacterium,Unspecified
4674,OP921041,Unspecified,Ralstonia solanacearum; Vibrio sp.
4675,MK863032,Pseudomonas,Unspecified
4676,LC744193,Unspecified,Unspecified
4677,LC744192,Unspecified,Unspecified
4678,LC744191,Unspecified,Unspecified
4679,LC744190,Unspecified,Unspecified
4680,LC744189,Unspecified,Unspecified
4681,LC744188,Unspecified,Unspecified
4682,LC744187,Unspecified,Unspecified
4683,LC744186,Unspecified,Unspecified
4684,LC744185,Unspecified,Unspecified
4685,LC744184,Unspecified,Unspecified
4686,LC744183,Unspecified,Unspecified
4687,LC744182,Unspecified,Unspecified
4688,LC744181,Unspecified,Unspecified
4689,LC744180,Unspecified,Unspecified
4690,LC744179,Unspecified,Unspecified
4691,LC744178,Unspecified,Unspecified
4692,MT711887,Pseudomonas,Unspecified
4693,MT711888,Pseudomonas,Unspecified
4694,MT663720,Pseudomonas,Unspecified
4695,KX009778,Escherichia,Unspecified
4696,OV696622,Brevibacterium,Unspecified
4697,OV696621,Leuconostoc,Unspecified
4698,OV696620,Psychrobacter,Unspecified
4699,OV696619,Glutamicibacter,Unspecified
4700,OV696617,Glutamicibacter,Unspecified
4701,OV696614,Escherichia,Unspecified
4702,OV696612,Escherichia,Unspecified
4703,OV696611,Escherichia,Unspecified
4704,OV696610,Escherichia,Unspecified
4705,OV696608,Escherichia,Unspecified
4706,OL770278,Escherichia,Unspecified
4707,OK499993,Escherichia,Unspecified
4708,OK499985,Escherichia,Unspecified
4709,OL615010,Shigella,Unspecified
4710,OP820473,Mycobacterium,Unspecified
4711,OP820472,Gordonia,Unspecified
4712,OP820469,Gordonia,Unspecified
4713,OP820466,Mycobacterium,Unspecified
4714,OP820465,Arthrobacter,Unspecified
4715,OP820464,Mycobacterium,Unspecified
4716,OP820462,Streptomyces,Unspecified
4717,OP910131,Arthrobacter,Unspecified
4718,OP751153,Gordonia,Unspecified
4719,OP751152,Arthrobacter,Unspecified
4720,OP751151,Arthrobacter,Unspecified
4721,OP751150,Mycobacterium,Unspecified
4722,OP751149,Mycobacterium,Unspecified
4723,OP751147,Streptomyces,Unspecified
4724,OP867024,Gordonia,Unspecified
4725,OP867022,Gordonia,Unspecified
4726,OP867020,Gordonia,Unspecified
4727,OP867018,Mycobacterium,Unspecified
4728,ON911716,Staphylococcus,Unspecified
4729,KY038360,Brevibacillus,Unspecified
4730,OP142323,Staphylococcus,Unspecified
4731,OP455935,Pseudomonas,Unspecified
4732,OP856590,Escherichia,Unspecified
4733,OP423032,Salmonella,Unspecified
4734,ON557706,Propionibacterium,Unspecified
4735,OM782324,Unspecified,Sulfitobacter sp. SH24-1b
4736,LC739542,Escherichia,Unspecified
4737,LC739541,Escherichia,Unspecified
4738,LC739540,Escherichia,Unspecified
4739,LC739539,Escherichia,Unspecified
4740,LC739538,Escherichia,Unspecified
4741,LC739537,Escherichia,Unspecified
4742,LC739536,Escherichia,Unspecified
4743,LC739535,Escherichia,Unspecified
4744,LC739534,Escherichia,Unspecified
4745,LC739533,Escherichia,Unspecified
4746,LC739532,Escherichia,Unspecified
4747,LC739531,Escherichia,Unspecified
4748,LC739530,Escherichia,Unspecified
4749,OP580516,Arthrobacter,Unspecified
4750,MT012302,Salmonella,Unspecified
4751,OP380511,Chromohalobacter,Unspecified
4752,AP008979,Xanthomonas,Unspecified
4753,AB276040,Ralstonia,Unspecified
4754,MZ681519,Mycobacterium,Unspecified
4755,MW924649,Mycobacterium,Unspecified
4756,MN746332,Caulobacter,Unspecified
4757,OP434444,Arthrobacter,Unspecified
4758,EU622808,Bacillus,Unspecified
4759,AY508486,Staphylococcus,Unspecified
4760,AY251033,Yersinia,Unspecified
4761,AF513032,Staphylococcus,Unspecified
4762,BHU24159,Haemophilus,Unspecified
4763,MN994504,Unspecified,Unspecified
4764,MN994502,Unspecified,Unspecified
4765,MN994496,Unspecified,Unspecified
4766,MN970211,Unspecified,Unspecified
4767,HQ406778,Salmonella,Unspecified
4768,AB797215,Klebsiella,Unspecified
4769,OP503995,Paenibacillus,Unspecified
4770,OP503994,Paenibacillus,Unspecified
4771,OP503993,Paenibacillus,Unspecified
4772,OP503992,Paenibacillus,Unspecified
4773,OP503991,Paenibacillus,Unspecified
4774,OP503990,Paenibacillus,Unspecified
4775,OP503989,Paenibacillus,Unspecified
4776,OP503988,Paenibacillus,Unspecified
4777,OP503987,Paenibacillus,Unspecified
4778,OP503986,Paenibacillus,Unspecified
4779,OP503985,Paenibacillus,Unspecified
4780,OP503984,Paenibacillus,Unspecified
4781,OP503983,Paenibacillus,Unspecified
4782,OP503982,Paenibacillus,Unspecified
4783,OP503981,Paenibacillus,Unspecified
4784,OP503980,Paenibacillus,Unspecified
4785,OP503979,Paenibacillus,Unspecified
4786,OP503978,Paenibacillus,Unspecified
4787,OP503977,Paenibacillus,Unspecified
4788,OP503976,Paenibacillus,Unspecified
4789,OP503975,Paenibacillus,Unspecified
4790,OP503974,Paenibacillus,Unspecified
4791,OP503973,Paenibacillus,Unspecified
4792,OP503972,Paenibacillus,Unspecified
4793,OP503971,Paenibacillus,Unspecified
4794,OP503970,Paenibacillus,Unspecified
4795,OP503969,Paenibacillus,Unspecified
4796,OP503968,Paenibacillus,Unspecified
4797,OP549880,Unspecified,Homo sapiens
4798,OP549879,Unspecified,Homo sapiens
4799,OP549878,Unspecified,Homo sapiens
4800,OP549877,Unspecified,Homo sapiens
4801,OP549876,Unspecified,Homo sapiens
4802,OP549875,Unspecified,Homo sapiens
4803,OP549874,Unspecified,Homo sapiens
4804,OP549873,Unspecified,Homo sapiens
4805,OP549872,Unspecified,Homo sapiens
4806,OP549871,Unspecified,Homo sapiens
4807,OP549870,Unspecified,Homo sapiens
4808,OP549869,Unspecified,Homo sapiens
4809,OP549868,Unspecified,Homo sapiens
4810,OP549867,Unspecified,Homo sapiens
4811,OP549866,Unspecified,Homo sapiens
4812,OP549865,Unspecified,Homo sapiens
4813,OP549864,Unspecified,Homo sapiens
4814,OP434459,Mycobacterium,Unspecified
4815,OP434457,Gordonia,Unspecified
4816,OP434453,Streptomyces,Unspecified
4817,OP434452,Arthrobacter,Unspecified
4818,OP434450,Gordonia,Unspecified
4819,OP434449,Microbacterium,Unspecified
4820,OP434448,Gordonia,Unspecified
4821,OP434446,Gordonia,Unspecified
4822,OP434445,Microbacterium,Unspecified
4823,OP434443,Microbacterium,Unspecified
4824,OP434441,Mycobacterium,Unspecified
4825,OP434439,Microbacterium,Unspecified
4826,OP580518,Microbacterium,Unspecified
4827,ON724008,Gordonia,Unspecified
4828,MZ681509,Gordonia,Unspecified
4829,OP556577,Pseudomonas,Unspecified
4830,OP503543,Paenibacillus,Unspecified
4831,OP494865,Paenibacillus,Unspecified
4832,ON911717,Staphylococcus,Unspecified
4833,OP209175,Unspecified,bacterium
4834,OP394178,Unspecified,Cyanobacteria
4835,OP380492,Bacillus,Unspecified
4836,OP209178,Unspecified,bacterium
4837,OP209177,Unspecified,bacterium
4838,OP209176,Unspecified,bacterium
4839,OP209174,Unspecified,bacterium
4840,OP535472,Salmonella,Unspecified
4841,OP535471,Salmonella,Unspecified
4842,OP294982,Mycobacterium,Unspecified
4843,BK059895,Unspecified,Cylindrospermopsis raciborskii
4844,MZ274307,Microbacterium,Unspecified
4845,MZ005678,Microbacterium,Unspecified
4846,MZ005676,Microbacterium,Unspecified
4847,MZ209304,Microbacterium,Unspecified
4848,MZ322027,Microbacterium,Unspecified
4849,MZ322014,Microbacterium,Unspecified
4850,MZ322008,Microbacterium,Unspecified
4851,MZ322006,Microbacterium,Unspecified
4852,MZ028628,Microbacterium,Unspecified
4853,OX335443,Klebsiella,Unspecified
4854,OX335441,Klebsiella,Unspecified
4855,OX335440,Klebsiella,Unspecified
4856,OX335439,Klebsiella,Unspecified
4857,OX335438,Klebsiella,Unspecified
4858,OX335437,Klebsiella,Unspecified
4859,OX335435,Klebsiella,Unspecified
4860,OX335434,Klebsiella,Unspecified
4861,OX335433,Klebsiella,Unspecified
4862,OX335432,Klebsiella,Unspecified
4863,OX335431,Klebsiella,Unspecified
4864,OX335430,Klebsiella,Unspecified
4865,OX335429,Klebsiella,Unspecified
4866,OX335428,Klebsiella,Unspecified
4867,OX335427,Klebsiella,Unspecified
4868,OX335426,Klebsiella,Unspecified
4869,OX335423,Klebsiella,Unspecified
4870,OX335422,Klebsiella,Unspecified
4871,OX335421,Klebsiella,Unspecified
4872,OX335420,Klebsiella,Unspecified
4873,OX335419,Klebsiella,Unspecified
4874,OX335418,Klebsiella,Unspecified
4875,OX335417,Klebsiella,Unspecified
4876,OX335416,Klebsiella,Unspecified
4877,OX335414,Klebsiella,Unspecified
4878,OX335413,Klebsiella,Unspecified
4879,OX335412,Klebsiella,Unspecified
4880,OX335411,Klebsiella,Unspecified
4881,OX335410,Klebsiella,Unspecified
4882,OX335409,Klebsiella,Unspecified
4883,OX335408,Klebsiella,Unspecified
4884,OX335407,Klebsiella,Unspecified
4885,OX335406,Klebsiella,Unspecified
4886,OX335405,Klebsiella,Unspecified
4887,OX335404,Klebsiella,Unspecified
4888,OX335403,Klebsiella,Unspecified
4889,OX335402,Klebsiella,Unspecified
4890,OX335401,Klebsiella,Unspecified
4891,OX335400,Klebsiella,Unspecified
4892,OX335398,Klebsiella,Unspecified
4893,OX335396,Klebsiella,Unspecified
4894,OX335395,Klebsiella,Unspecified
4895,OX335394,Klebsiella,Unspecified
4896,OX335393,Klebsiella,Unspecified
4897,OX335392,Klebsiella,Unspecified
4898,OX335391,Klebsiella,Unspecified
4899,OX335390,Klebsiella,Unspecified
4900,OX335389,Klebsiella,Unspecified
4901,OX335388,Klebsiella,Unspecified
4902,OX335387,Klebsiella,Unspecified
4903,OX335386,Klebsiella,Unspecified
4904,OX335385,Klebsiella,Unspecified
4905,OX335384,Klebsiella,Unspecified
4906,OX335383,Klebsiella,Unspecified
4907,OX335382,Klebsiella,Unspecified
4908,OX335381,Klebsiella,Unspecified
4909,OX335380,Klebsiella,Unspecified
4910,OX335379,Klebsiella,Unspecified
4911,OX335378,Klebsiella,Unspecified
4912,OX335377,Klebsiella,Unspecified
4913,OX335376,Klebsiella,Unspecified
4914,OX335375,Klebsiella,Unspecified
4915,OX335371,Klebsiella,Unspecified
4916,OX335370,Klebsiella,Unspecified
4917,OX335369,Klebsiella,Unspecified
4918,OX335361,Klebsiella,Unspecified
4919,OX335360,Klebsiella,Unspecified
4920,OX335359,Klebsiella,Unspecified
4921,ON245412,Unspecified,Unspecified
4922,MZ890186,Klebsiella,Unspecified
4923,MW419775,Bacillus,Unspecified
4924,KX664695,Escherichia,Unspecified
4925,OK322699,Escherichia,Unspecified
4926,MK967392,Gordonia,Unspecified
4927,OP297551,Mycobacterium,Unspecified
4928,OP297548,Gordonia,Unspecified
4929,OP297547,Gordonia,Unspecified
4930,OP297546,Gordonia,Unspecified
4931,OP297545,Arthrobacter,Unspecified
4932,OP297542,Mycobacterium,Unspecified
4933,OP297539,Gordonia,Unspecified
4934,OP297538,Microbacterium,Unspecified
4935,OP297536,Mycobacterium,Unspecified
4936,OP297534,Mycobacterium,Unspecified
4937,OP297533,Mycobacterium,Unspecified
4938,OP297531,Gordonia,Unspecified
4939,OP297530,Mycobacterium,Unspecified
4940,OP297528,Mycobacterium,Unspecified
4941,LC730325,Escherichia,Unspecified
4942,LC730324,Enterobacteria,Unspecified
4943,LC730323,Salmonella,Unspecified
4944,LC730322,Salmonella,Unspecified
4945,LC730321,Unspecified,Unspecified
4946,LC730320,Mycobacterium,Unspecified
4947,LC730319,Pseudomonas,Unspecified
4948,LC730318,Unspecified,Unspecified
4949,LC730317,Mycobacterium,Unspecified
4950,OP312987,Escherichia,Unspecified
4951,ON970613,Microbacterium,Unspecified
4952,ON970589,Microbacterium,Unspecified
4953,ON970573,Microbacterium,Unspecified
4954,ON755188,Microbacterium,Unspecified
4955,ON755182,Microbacterium,Unspecified
4956,ON645345,Microbacterium,Unspecified
4957,ON645341,Microbacterium,Unspecified
4958,ON456350,Microbacterium,Unspecified
4959,ON260814,Microbacterium,Unspecified
4960,ON260812,Microbacterium,Unspecified
4961,ON081334,Microbacterium,Unspecified
4962,ON108648,Microbacterium,Unspecified
4963,ON108642,Microbacterium,Unspecified
4964,OK310504,Microbacterium,Unspecified
4965,OK040783,Microbacterium,Unspecified
4966,OK040781,Microbacterium,Unspecified
4967,MZ622180,Microbacterium,Unspecified
4968,MZ648031,Microbacterium,Unspecified
4969,KU886224,Erwinia,Unspecified
4970,ON375847,Pectobacterium,Unspecified
4971,OL634959,Unspecified,Unspecified
4972,MZ099574,Unspecified,african green monkey
4973,ON755187,Gordonia,Unspecified
4974,ON711395,Escherichia,Unspecified
4975,LC727904,Escherichia,Unspecified
4976,LC727903,Unspecified,Unspecified
4977,LC727902,Unspecified,Unspecified
4978,LC727901,Unspecified,Unspecified
4979,LC727900,Unspecified,Unspecified
4980,LC727899,Unspecified,Unspecified
4981,LC727898,Unspecified,Unspecified
4982,LC727897,Unspecified,Unspecified
4983,LC727896,Unspecified,Unspecified
4984,LC727895,Unspecified,Unspecified
4985,LC727894,Unspecified,Unspecified
4986,LC727893,Unspecified,Unspecified
4987,LC727892,Unspecified,Unspecified
4988,LC727891,Unspecified,Unspecified
4989,LC727890,Unspecified,Unspecified
4990,LC727889,Unspecified,Unspecified
4991,LC727888,Unspecified,Unspecified
4992,LC727887,Unspecified,Unspecified
4993,LC727886,Unspecified,Unspecified
4994,LC727885,Unspecified,Unspecified
4995,LC727884,Unspecified,Unspecified
4996,LC727883,Unspecified,Unspecified
4997,LC727882,Unspecified,Unspecified
4998,LC727881,Unspecified,Unspecified
4999,LC727880,Unspecified,Unspecified
5000,LC727879,Unspecified,Unspecified
5001,LC727878,Unspecified,Unspecified
5002,LC727877,Unspecified,Unspecified
5003,LC727876,Unspecified,Unspecified
5004,LC727872,Unspecified,Unspecified
5005,LC727871,Unspecified,Unspecified
5006,LC727870,Unspecified,Unspecified
5007,OP172878,Corynebacterium,Unspecified
5008,OP172872,Mycobacterium,Unspecified
5009,OP172871,Microbacterium,Unspecified
5010,OP172869,Arthrobacter,Unspecified
5011,OM869612,Dipodfec,Unspecified
5012,OM869611,Dipodfec,Unspecified
5013,OM869610,Dipodfec,Unspecified
5014,OM869609,Dipodfec,Unspecified
5015,OM869608,Dipodfec,Unspecified
5016,OM869607,Dipodfec,Unspecified
5017,OM869606,Dipodfec,Unspecified
5018,OM869605,Dipodfec,Unspecified
5019,OM869604,Dipodfec,Unspecified
5020,OM869603,Dipodfec,Unspecified
5021,OM869594,Dipodfec,Unspecified
5022,OM869593,Dipodfec,Unspecified
5023,OM869592,Dipodfec,Unspecified
5024,OM869591,Dipodfec,Unspecified
5025,OM869590,Dipodfec,Unspecified
5026,OM869589,Dipodfec,Unspecified
5027,OM869588,Dipodfec,Unspecified
5028,OM869587,Dipodfec,Unspecified
5029,OM869586,Dipodfec,Unspecified
5030,OM869585,Dipodfec,Unspecified
5031,OM869583,Dipodfec,Unspecified
5032,OM869580,Sigmofec,Unspecified
5033,OM869579,Sigmofec,Unspecified
5034,OM869578,Sigmofec,Unspecified
5035,OM869577,Sigmofec,Unspecified
5036,OM869576,Sigmofec,Unspecified
5037,OM869575,Sigmofec,Unspecified
5038,OM869574,Sigmofec,Unspecified
5039,OM869573,Sigmofec,Unspecified
5040,OM869572,Sigmofec,Unspecified
5041,OM869571,Sigmofec,Unspecified
5042,OM869570,Sigmofec,Unspecified
5043,OM869569,Sigmofec,Unspecified
5044,OM869568,Sigmofec,Unspecified
5045,OM869566,Sigmofec,Unspecified
5046,OM869565,Sigmofec,Unspecified
5047,OM869564,Sigmofec,Unspecified
5048,OM869563,Sigmofec,Unspecified
5049,OM869562,Sigmofec,Unspecified
5050,OM869561,Sigmofec,Unspecified
5051,OM869560,Sigmofec,Unspecified
5052,OM869559,Sigmofec,Unspecified
5053,OM869558,Sigmofec,Unspecified
