species,Gram stain,Genus
Marininema halotolerans,positive,Marininema
Marininema mesophilum,positive,Marininema
Marinisporobacter balticus,positive,Marinisporobacter
Marinitenerispora sediminis,positive,Marinitenerispora
Marinococcus halotolerans,positive,Marinococcus
Marinococcus luteus,positive,Marinococcus
Marinococcus tarijensis,positive,Marinococcus
Marisediminicola antarctica,positive,Marisediminicola
Marmoricola aequoreus,positive,Marmoricola
Marmoricola bigeumensis,positive,Marmoricola
Marmoricola endophyticus,positive,Marmoricola
Marmoricola ginsengisoli,positive,Marmoricola
Marmoricola mangrovicus,positive,Marmoricola
Marmoricola pocheonensis,positive,Marmoricola
Marmoricola silvestris,positive,Marmoricola
Melghirimyces algeriensis,positive,Melghirimyces
Melghirimyces profundicolus,positive,Melghirimyces
Melghirimyces thermohalophilus,positive,Melghirimyces
Merdimonas faecis,positive,Merdimonas
Mesobacillus persicus,positive,Mesobacillus
Mesobacillus selenatarsenatis,positive,Mesobacillus
Mesobacillus zeae,positive,Mesobacillus
Metabacillus galliciensis,positive,Metabacillus
Metabacillus halosaccharovorans,positive,Metabacillus
Metabacillus herbersteinensis,positive,Metabacillus
Metabacillus indicus,positive,Metabacillus
Metabacillus iocasae,positive,Metabacillus
Metabacillus litoralis,positive,Metabacillus
Metabacillus niabensis,positive,Metabacillus
Metasolibacillus meyeri,positive,Metasolibacillus
Methanobrevibacter boviskoreani,positive,Methanobrevibacter
Methanomassiliicoccus luminyensis,positive,Methanomassiliicoccus
Methanothermobacter tenebrarum,positive,Methanothermobacter
Microbacterium agarici,positive,Microbacterium
Microbacterium album,positive,Microbacterium
Microbacterium amylolyticum,positive,Microbacterium
Microbacterium aquimaris,positive,Microbacterium
Microbacterium aureliae,positive,Microbacterium
Microbacterium azadirachtae,positive,Microbacterium
Microbacterium binotii,positive,Microbacterium
Microbacterium bovistercoris,positive,Microbacterium
Microbacterium deserti,positive,Microbacterium
Microbacterium diaminobutyricum,positive,Microbacterium
Microbacterium faecale,positive,Microbacterium
Microbacterium ginsengisoli,positive,Microbacterium
Microbacterium ginsengiterrae,positive,Microbacterium
Microbacterium halophytorum,positive,Microbacterium
Microbacterium halotolerans,positive,Microbacterium
Microbacterium hatanonis,positive,Microbacterium
Microbacterium humi,positive,Microbacterium
Microbacterium hydrocarbonoxydans,positive,Microbacterium
Microbacterium immunditiarum,positive,Microbacterium
Microbacterium indicum,positive,Microbacterium
Microbacterium insulae,positive,Microbacterium
Microbacterium invictum,positive,Microbacterium
Microbacterium koreense,positive,Microbacterium
Microbacterium kribbense,positive,Microbacterium
Microbacterium lemovicicum,positive,Microbacterium
Microbacterium lindanitolerans,positive,Microbacterium
Microbacterium luticocti,positive,Microbacterium
Microbacterium marinilacus,positive,Microbacterium
Microbacterium mitrae,positive,Microbacterium
Microbacterium murale,positive,Microbacterium
Microbacterium natoriense,positive,Microbacterium
Microbacterium neimengense,positive,Microbacterium
Microbacterium oleivorans,positive,Microbacterium
Microbacterium oryzae,positive,Microbacterium
Microbacterium oxydans,positive,Microbacterium
Microbacterium paludicola,positive,Microbacterium
Microbacterium panaciterrae,positive,Microbacterium
Microbacterium profundi,positive,Microbacterium
Microbacterium pseudoresistens,positive,Microbacterium
Microbacterium radiodurans,positive,Microbacterium
Microbacterium rhizomatis,positive,Microbacterium
Microbacterium saccharophilum,positive,Microbacterium
Microbacterium sediminicola,positive,Microbacterium
Microbacterium sediminis,positive,Microbacterium
Microbacterium soli,positive,Microbacterium
Microbacterium sorbitolivorans,positive,Microbacterium
Microbacterium suaedae,positive,Microbacterium
Microbacterium telephonicum,positive,Microbacterium
Microbacterium tumbae,positive,Microbacterium
Microbacterium ulmi,positive,Microbacterium
Microbacterium ureisolvens,positive,Microbacterium
Microbacterium xylanilyticum,positive,Microbacterium
Microbacterium yannicii,positive,Microbacterium
Microbispora cellulosiformans,positive,Microbispora
Microbispora hainanensis,positive,Microbispora
Microbispora siamensis,positive,Microbispora
Microbispora soli,positive,Microbispora
Microbispora triticiradicis,positive,Microbispora
Microcella alkalica,positive,Microcella
Microcella frigidaquae,positive,Microcella
Micrococcoides hystricis,positive,Micrococcoides
Micrococcus cohnii,positive,Micrococcus
Micrococcus endophyticus,positive,Micrococcus
Micrococcus flavus,positive,Micrococcus
Micrococcus terreus,positive,Micrococcus
Micrococcus yunnanensis,positive,Micrococcus
Microlunatus aerolatus,positive,Microlunatus
Microlunatus aurantiacus,positive,Microlunatus
Microlunatus flavus,positive,Microlunatus
Microlunatus ginsengisoli,positive,Microlunatus
Microlunatus kandeliicorticis,positive,Microlunatus
Microlunatus nigridraconis,positive,Microlunatus
Microlunatus panaciterrae,positive,Microlunatus
Microlunatus parietis,positive,Microlunatus
Microlunatus soli,positive,Microlunatus
Microlunatus speluncae,positive,Microlunatus
Micromonospora acroterricola,positive,Micromonospora
Micromonospora andamanensis,positive,Micromonospora
Micromonospora caldifontis,positive,Micromonospora
Micromonospora chaiyaphumensis,positive,Micromonospora
Micromonospora craniellae,positive,Micromonospora
Micromonospora craterilacus,positive,Micromonospora
Micromonospora cremea,positive,Micromonospora
Micromonospora eburnea,positive,Micromonospora
Micromonospora endophytica,positive,Micromonospora
Micromonospora equina,positive,Micromonospora
Micromonospora fulva,positive,Micromonospora
Micromonospora globbae,positive,Micromonospora
Micromonospora kangleipakensis,positive,Micromonospora
Micromonospora lupini,positive,Micromonospora
Micromonospora lutea,positive,Micromonospora
Micromonospora luteiviridis,positive,Micromonospora
Micromonospora marina,positive,Micromonospora
Micromonospora maritima,positive,Micromonospora
Micromonospora mirobrigensis,positive,Micromonospora
Micromonospora noduli,positive,Micromonospora
Micromonospora orduensis,positive,Micromonospora
Micromonospora ovatispora,positive,Micromonospora
Micromonospora parathelypteridis,positive,Micromonospora
Micromonospora pattaloongensis,positive,Micromonospora
Micromonospora phaseoli,positive,Micromonospora
Micromonospora phytophila,positive,Micromonospora
Micromonospora pisi,positive,Micromonospora
Micromonospora profundi,positive,Micromonospora
Micromonospora qiuiae,positive,Micromonospora
Micromonospora radicis,positive,Micromonospora
Micromonospora rhizosphaerae,positive,Micromonospora
Micromonospora rifamycinica,positive,Micromonospora
Micromonospora saelicesensis,positive,Micromonospora
Micromonospora schwarzwaldensis,positive,Micromonospora
Micromonospora sediminicola,positive,Micromonospora
Micromonospora sediminimaris,positive,Micromonospora
Micromonospora sediminis,positive,Micromonospora
Micromonospora sonneratiae,positive,Micromonospora
Micromonospora terminaliae,positive,Micromonospora
Micromonospora tulbaghiae,positive,Micromonospora
Micromonospora ureilytica,positive,Micromonospora
Micromonospora vinacea,positive,Micromonospora
Micromonospora wenchangensis,positive,Micromonospora
Micromonospora yangpuensis,positive,Micromonospora
Micromonospora zamorensis,positive,Micromonospora
Microterricola gilva,positive,Microterricola
Microterricola pindariensis,positive,Microterricola
Microterricola viridarii,positive,Microterricola
Miniimonas arenae,positive,Miniimonas
Mobilicoccus caccae,positive,Mobilicoccus
Mobilisporobacter senegalensis,positive,Mobilisporobacter
Mobilitalea sibirica,positive,Mobilitalea
Modestobacter roseus,positive,Modestobacter
Modestobacter versicolor,positive,Modestobacter
Mogibacterium diversum,positive,Mogibacterium
Monoglobus pectinilyticus,positive,Monoglobus
Moorella humiferrea,positive,Moorella
Moryella indoligenes,positive,Moryella
Motilibacter peucedani,positive,Motilibacter
Motilibacter rhizosphaerae,positive,Motilibacter
Murdochiella asaccharolytica,positive,Murdochiella
Muricomes intestini,positive,Muricomes
Murinocardiopsis flavida,positive,Murinocardiopsis
Myceligenerans crystallogenes,positive,Myceligenerans
Myceligenerans xiligouense,positive,Myceligenerans
Mycetocola manganoxydans,positive,Mycetocola
Mycetocola miduiensis,positive,Mycetocola
Mycetocola reblochoni,positive,Mycetocola
Mycetocola zhadangensis,positive,Mycetocola
Mycobacterium abscessus subsp. massiliense,positive,Mycobacterium
Mycobacterium agri,positive,Mycobacterium
Mycobacterium aquiterrae,positive,Mycobacterium
Mycobacterium arabiense,positive,Mycobacterium
Mycobacterium aromaticivorans,positive,Mycobacterium
Mycobacterium avium,positive,Mycobacterium
Mycobacterium boenickei,positive,Mycobacterium
Mycobacterium bourgelatii,positive,Mycobacterium
Mycobacterium brisbanense,positive,Mycobacterium
Mycobacterium chelonae subsp. bovis,positive,Mycobacterium
Mycobacterium crocinum,positive,Mycobacterium
Mycobacterium eburneum,positive,Mycobacterium
Mycobacterium houstonense,positive,Mycobacterium
Mycobacterium insubricum,positive,Mycobacterium
Mycobacterium intracellulare subsp. chimaera,positive,Mycobacterium
Mycobacterium iranicum,positive,Mycobacterium
Mycobacterium koreense,positive,Mycobacterium
Mycobacterium kyogaense,positive,Mycobacterium
Mycobacterium lehmannii,positive,Mycobacterium
Mycobacterium litorale,positive,Mycobacterium
Mycobacterium llatzerense,positive,Mycobacterium
Mycobacterium marseillense,positive,Mycobacterium
Mycobacterium minnesotense,positive,Mycobacterium
Mycobacterium neoaurum,positive,Mycobacterium
Mycobacterium neumannii,positive,Mycobacterium
Mycobacterium neworleansense,positive,Mycobacterium
Mycobacterium noviomagense,positive,Mycobacterium
Mycobacterium obuense,positive,Mycobacterium
Mycobacterium oryzae,positive,Mycobacterium
Mycobacterium pallens,positive,Mycobacterium
Mycobacterium parakoreense,positive,Mycobacterium
Mycobacterium paraseoulense,positive,Mycobacterium
Mycobacterium paraterrae,positive,Mycobacterium
Mycobacterium psychrotolerans,positive,Mycobacterium
Mycobacterium pulveris,positive,Mycobacterium
Mycobacterium rufum,positive,Mycobacterium
Mycobacterium rutilum,positive,Mycobacterium
Mycobacterium sediminis,positive,Mycobacterium
Mycobacterium senuense,positive,Mycobacterium
Mycobacterium seoulense,positive,Mycobacterium
Mycobacterium setense,positive,Mycobacterium
Mycobacterium smegmatis,positive,Mycobacterium
Mycobacterium talmoniae,positive,Mycobacterium
Mycobacterium timonense,positive,Mycobacterium
Mycolicibacterium stellerae,positive,Mycolicibacterium
Naasia aerilata,positive,Naasia
Nakamurella albus,positive,Nakamurella
Nakamurella antarctica,positive,Nakamurella
Nakamurella deserti,positive,Nakamurella
Nakamurella endophytica,positive,Nakamurella
Nakamurella flavida,positive,Nakamurella
Nakamurella intestinalis,positive,Nakamurella
Nakamurella lactea,positive,Nakamurella
Nakamurella panacisegetis,positive,Nakamurella
Nakamurella silvestris,positive,Nakamurella
Natranaerobaculum magadiense,positive,Natranaerobaculum
Natranaerobius trueperi,positive,Natranaerobius
Natribacillus halophilus,positive,Natribacillus
Natrinema gari,positive,Natrinema
Natronovirga wadinatrunensis,positive,Natronovirga
Naumannella cuiyingiana,positive,Naumannella
Naumannella halotolerans,positive,Naumannella
Naumannella huperziae,positive,Naumannella
Neobacillus bataviensis,positive,Neobacillus
Neobacillus cucumis,positive,Neobacillus
Neobacillus drentensis,positive,Neobacillus
Neobacillus fumarioli,positive,Neobacillus
Neobacillus ginsengisoli,positive,Neobacillus
Neobacillus notoginsengisoli,positive,Neobacillus
Neobacillus novalis,positive,Neobacillus
Neobacillus piezotolerans,positive,Neobacillus
Neobacillus pocheonensis,positive,Neobacillus
Neobacillus soli,positive,Neobacillus
Neomicrococcus aestuarii,positive,Neomicrococcus
Nesterenkonia aethiopica,positive,Nesterenkonia
Nesterenkonia alba,positive,Nesterenkonia
Nesterenkonia aurantiaca,positive,Nesterenkonia
Nesterenkonia cremea,positive,Nesterenkonia
Nesterenkonia endophytica,positive,Nesterenkonia
Nesterenkonia flava,positive,Nesterenkonia
Nesterenkonia halophila,positive,Nesterenkonia
Nesterenkonia halotolerans,positive,Nesterenkonia
Nesterenkonia jeotgali,positive,Nesterenkonia
Nesterenkonia lutea,positive,Nesterenkonia
Nesterenkonia natronophila,positive,Nesterenkonia
Nesterenkonia sandarakina,positive,Nesterenkonia
Nesterenkonia suensis,positive,Nesterenkonia
Niallia nealsonii,positive,Niallia
Niallia oryzisoli,positive,Niallia
Nitriliruptor alkaliphilus,positive,Nitriliruptor
Nocardia acidivorans,positive,Nocardia
Nocardia altamirensis,positive,Nocardia
Nocardia amamiensis,positive,Nocardia
Nocardia amikacinitolerans,positive,Nocardia
Nocardia araoensis,positive,Nocardia
Nocardia asiatica,positive,Nocardia
Nocardia callitridis,positive,Nocardia
Nocardia camponoti,positive,Nocardia
Nocardia cavernae,positive,Nocardia
Nocardia concava,positive,Nocardia
Nocardia coubleae,positive,Nocardia
Nocardia elegans,positive,Nocardia
Nocardia exalbida,positive,Nocardia
Nocardia goodfellowii,positive,Nocardia
Nocardia grenadensis,positive,Nocardia
Nocardia heshunensis,positive,Nocardia
Nocardia higoensis,positive,Nocardia
Nocardia inohanensis,positive,Nocardia
Nocardia iowensis,positive,Nocardia
Nocardia jejuensis,positive,Nocardia
Nocardia jiangsuensis,positive,Nocardia
Nocardia jiangxiensis,positive,Nocardia
Nocardia jinanensis,positive,Nocardia
Nocardia mangyaensis,positive,Nocardia
Nocardia mikamii,positive,Nocardia
Nocardia miyunensis,positive,Nocardia
Nocardia neocaledoniensis,positive,Nocardia
Nocardia niigatensis,positive,Nocardia
Nocardia ninae,positive,Nocardia
Nocardia niwae,positive,Nocardia
Nocardia panacis,positive,Nocardia
Nocardia pigrifrangens,positive,Nocardia
Nocardia pneumoniae,positive,Nocardia
Nocardia polyresistens,positive,Nocardia
Nocardia rayongensis,positive,Nocardia
Nocardia rhizosphaerihabitans,positive,Nocardia
Nocardia shimofusensis,positive,Nocardia
Nocardia shinanonensis,positive,Nocardia
Nocardia speluncae,positive,Nocardia
Nocardia takedensis,positive,Nocardia
Nocardia tenerifensis,positive,Nocardia
Nocardia terpenica,positive,Nocardia
Nocardia thraciensis,positive,Nocardia
Nocardia xestospongiae,positive,Nocardia
Nocardia xishanensis,positive,Nocardia
Nocardia yamanashiensis,positive,Nocardia
Nocardia yunnanensis,positive,Nocardia
Nocardioides aestuarii,positive,Nocardioides
Nocardioides agariphilus,positive,Nocardioides
Nocardioides agrisoli,positive,Nocardioides
Nocardioides albertanoniae,positive,Nocardioides
Nocardioides albidus,positive,Nocardioides
Nocardioides alkalitolerans,positive,Nocardioides
Nocardioides allogilvus,positive,Nocardioides
Nocardioides alpinus,positive,Nocardioides
Nocardioides aquiterrae,positive,Nocardioides
Nocardioides baekrokdamisoli,positive,Nocardioides
Nocardioides bigeumensis,positive,Nocardioides
Nocardioides caeni,positive,Nocardioides
Nocardioides caricicola,positive,Nocardioides
Nocardioides cavernae,positive,Nocardioides
Nocardioides conyzicola,positive,Nocardioides
Nocardioides currus,positive,Nocardioides
Nocardioides daedukensis,positive,Nocardioides
Nocardioides daeguensis,positive,Nocardioides
Nocardioides daejeonensis,positive,Nocardioides
Nocardioides daphniae,positive,Nocardioides
Nocardioides dilutus,positive,Nocardioides
Nocardioides dokdonensis,positive,Nocardioides
Nocardioides dubius,positive,Nocardioides
Nocardioides endophyticus,positive,Nocardioides
Nocardioides ferulae,positive,Nocardioides
Nocardioides flavus,positive,Nocardioides
Nocardioides fonticola,positive,Nocardioides
Nocardioides furvisabuli,positive,Nocardioides
Nocardioides ganghwensis,positive,Nocardioides
Nocardioides gansuensis,positive,Nocardioides
Nocardioides ginkgobilobae,positive,Nocardioides
Nocardioides ginsengagri,positive,Nocardioides
Nocardioides ginsengisoli,positive,Nocardioides
Nocardioides halotolerans,positive,Nocardioides
Nocardioides hankookensis,positive,Nocardioides
Nocardioides houyundeii,positive,Nocardioides
Nocardioides humi,positive,Nocardioides
Nocardioides hungaricus,positive,Nocardioides
Nocardioides hwasunensis,positive,Nocardioides
Nocardioides insulae,positive,Nocardioides
Nocardioides intraradicalis,positive,Nocardioides
Nocardioides islandensis,positive,Nocardioides
Nocardioides kandeliae,positive,Nocardioides
Nocardioides kongjuensis,positive,Nocardioides
Nocardioides koreensis,positive,Nocardioides
Nocardioides kribbensis,positive,Nocardioides
Nocardioides lentus,positive,Nocardioides
Nocardioides lianchengensis,positive,Nocardioides
Nocardioides litoris,positive,Nocardioides
Nocardioides litorisoli,positive,Nocardioides
Nocardioides maradonensis,positive,Nocardioides
Nocardioides marinisabuli,positive,Nocardioides
Nocardioides marinquilinus,positive,Nocardioides
Nocardioides marinus,positive,Nocardioides
Nocardioides mesophilus,positive,Nocardioides
Nocardioides oleivorans,positive,Nocardioides
Nocardioides opuntiae,positive,Nocardioides
Nocardioides panacihumi,positive,Nocardioides
Nocardioides panacisoli,positive,Nocardioides
Nocardioides pelophilus,positive,Nocardioides
Nocardioides perillae,positive,Nocardioides
Nocardioides phosphati,positive,Nocardioides
Nocardioides psychrotolerans,positive,Nocardioides
Nocardioides rotundus,positive,Nocardioides
Nocardioides rubriscoriae,positive,Nocardioides
Nocardioides salarius,positive,Nocardioides
Nocardioides salarius,positive,Nocardioides
Nocardioides salsibiostraticola,positive,Nocardioides
Nocardioides sediminis,positive,Nocardioides
Nocardioides silvaticus,positive,Nocardioides
Nocardioides sonneratiae,positive,Nocardioides
Nocardioides szechwanensis,positive,Nocardioides
Nocardioides terrae,positive,Nocardioides
Nocardioides terrigena,positive,Nocardioides
Nocardioides thalensis,positive,Nocardioides
Nocardioides tritolerans,positive,Nocardioides
Nocardioides ultimimeridianus,positive,Nocardioides
Nocardioides yefusunii,positive,Nocardioides
Nocardioides zeicaulis,positive,Nocardioides
Nocardioides zhouii,positive,Nocardioides
Nocardiopsis aegyptia,positive,Nocardiopsis
Nocardiopsis akesuensis,positive,Nocardiopsis
Nocardiopsis alkaliphila,positive,Nocardiopsis
Nocardiopsis ansamitocini,positive,Nocardiopsis
Nocardiopsis chromatogenes,positive,Nocardiopsis
Nocardiopsis fildesensis,positive,Nocardiopsis
Nocardiopsis ganjiahuensis,positive,Nocardiopsis
Nocardiopsis gilva,positive,Nocardiopsis
Nocardiopsis halophila,positive,Nocardiopsis
Nocardiopsis kunsanensis,positive,Nocardiopsis
Nocardiopsis kunsanensis,positive,Nocardiopsis
Nocardiopsis nikkonensis,positive,Nocardiopsis
Nocardiopsis potens,positive,Nocardiopsis
Nocardiopsis quinghaiensis,positive,Nocardiopsis
Nocardiopsis rhizosphaerae,positive,Nocardiopsis
Nocardiopsis rhodophaea,positive,Nocardiopsis
Nocardiopsis rosea,positive,Nocardiopsis
Nocardiopsis salina,positive,Nocardiopsis
Nocardiopsis sediminis,positive,Nocardiopsis
Nocardiopsis sinuspersici,positive,Nocardiopsis
Nocardiopsis terrae,positive,Nocardiopsis
Nocardiopsis valliformis,positive,Nocardiopsis
Nonomuraea antimicrobica,positive,Nonomuraea
Nonomuraea bangladeshensis,positive,Nonomuraea
Nonomuraea basaltis,positive,Nonomuraea
Nonomuraea cavernae,positive,Nonomuraea
Nonomuraea ceibae,positive,Nonomuraea
Nonomuraea coxensis,positive,Nonomuraea
Nonomuraea gerenzanensis,positive,Nonomuraea
Nonomuraea glycinis,positive,Nonomuraea
Nonomuraea jabiensis,positive,Nonomuraea
Nonomuraea kuesteri,positive,Nonomuraea
Nonomuraea mangrovi,positive,Nonomuraea
Nonomuraea monospora,positive,Nonomuraea
Nonomuraea phyllanthi,positive,Nonomuraea
Nonomuraea purpurea,positive,Nonomuraea
Nonomuraea rhodomycinica,positive,Nonomuraea
Nonomuraea rosea,positive,Nonomuraea
Nonomuraea solani,positive,Nonomuraea
Nonomuraea stahlianthi,positive,Nonomuraea
Nonomuraea terrae,positive,Nonomuraea
Nonomuraea thailandensis,positive,Nonomuraea
Nonomuraea thermotolerans,positive,Nonomuraea
Nonomuraea zeae,positive,Nonomuraea
Nosocomiicoccus ampullae,positive,Nosocomiicoccus
Occultella glacieicola,positive,Occultella
Oceanirhabdus sediminicola,positive,Oceanirhabdus
Oceanobacillus caeni,positive,Oceanobacillus
Oceanobacillus chironomi,positive,Oceanobacillus
Oceanobacillus chungangensis,positive,Oceanobacillus
Oceanobacillus halophilus,positive,Oceanobacillus
Oceanobacillus halotolerans,positive,Oceanobacillus
Oceanobacillus indicireducens,positive,Oceanobacillus
Oceanobacillus kapialis,positive,Oceanobacillus
Oceanobacillus longus,positive,Oceanobacillus
Oceanobacillus neutriphilus,positive,Oceanobacillus
Oceanobacillus oncorhynchi,positive,Oceanobacillus
Oceanobacillus oncorhynchi subsp. incaldanensis,positive,Oceanobacillus
Oceanobacillus picturae,positive,Oceanobacillus
Oceanobacillus piezotolerans,positive,Oceanobacillus
Oceanobacillus polygoni,positive,Oceanobacillus
Oceanobacillus profundus,positive,Oceanobacillus
Olsenella umbonata,positive,Olsenella
Oribacterium sinus,positive,Oribacterium
Ornithinibacillus bavariensis,positive,Ornithinibacillus
Ornithinibacillus californiensis,positive,Ornithinibacillus
Ornithinibacillus caprae,positive,Ornithinibacillus
Ornithinibacillus contaminans,positive,Ornithinibacillus
Ornithinibacillus gellani,positive,Ornithinibacillus
Ornithinibacillus halophilus,positive,Ornithinibacillus
Ornithinibacillus salinisoli,positive,Ornithinibacillus
Ornithinibacter aureus,positive,Ornithinibacter
Ornithinicoccus halotolerans,positive,Ornithinicoccus
Ornithinimicrobium flavum,positive,Ornithinimicrobium
Ornithinimicrobium murale,positive,Ornithinimicrobium
Ornithinimicrobium pekingense,positive,Ornithinimicrobium
Ornithinimicrobium tianjinense,positive,Ornithinimicrobium
Oryzihumus leptocrescens,positive,Oryzihumus
Oryzihumus soli,positive,Oryzihumus
Paenarthrobacter nitroguajacolicus,positive,Paenarthrobacter
Paenibacillus aceris,positive,Paenibacillus
Paenibacillus aestuarii,positive,Paenibacillus
Paenibacillus albidus,positive,Paenibacillus
Paenibacillus alkaliterrae,positive,Paenibacillus
Paenibacillus anseongense,positive,Paenibacillus
Paenibacillus arachidis,positive,Paenibacillus
Paenibacillus arcticus,positive,Paenibacillus
Paenibacillus assamensis,positive,Paenibacillus
Paenibacillus aurantiacus,positive,Paenibacillus
Paenibacillus azotifigens,positive,Paenibacillus
Paenibacillus baekrokdamisoli,positive,Paenibacillus
Paenibacillus barcinonensis,positive,Paenibacillus
Paenibacillus barengoltzii,positive,Paenibacillus
Paenibacillus bovis,positive,Paenibacillus
Paenibacillus catalpae,positive,Paenibacillus
Paenibacillus cathormii,positive,Paenibacillus
Paenibacillus chartarius,positive,Paenibacillus
Paenibacillus chungangensis,positive,Paenibacillus
Paenibacillus cisolokensis,positive,Paenibacillus
Paenibacillus crassostreae,positive,Paenibacillus
Paenibacillus cucumis,positive,Paenibacillus
Paenibacillus dongdonensis,positive,Paenibacillus
Paenibacillus donghaensis,positive,Paenibacillus
Paenibacillus doosanensis,positive,Paenibacillus
Paenibacillus elymi,positive,Paenibacillus
Paenibacillus endophyticus,positive,Paenibacillus
Paenibacillus esterisolvens,positive,Paenibacillus
Paenibacillus etheri,positive,Paenibacillus
Paenibacillus eucommiae,positive,Paenibacillus
Paenibacillus filicis,positive,Paenibacillus
Paenibacillus forsythiae,positive,Paenibacillus
Paenibacillus gansuensis,positive,Paenibacillus
Paenibacillus ginsengarvi,positive,Paenibacillus
Paenibacillus ginsengihumi,positive,Paenibacillus
Paenibacillus glacialis,positive,Paenibacillus
Paenibacillus harenae,positive,Paenibacillus
Paenibacillus hunanensis,positive,Paenibacillus
Paenibacillus konkukensis,positive,Paenibacillus
Paenibacillus konsidensis,positive,Paenibacillus
Paenibacillus koreensis,positive,Paenibacillus
Paenibacillus liaoningensis,positive,Paenibacillus
Paenibacillus luteus,positive,Paenibacillus
Paenibacillus lycopersici,positive,Paenibacillus
Paenibacillus marchantiophytorum,positive,Paenibacillus
Paenibacillus massiliensis subsp. massiliensis,positive,Paenibacillus
Paenibacillus massiliensis subsp. panacisoli,positive,Paenibacillus
Paenibacillus methanolicus,positive,Paenibacillus
Paenibacillus montaniterrae,positive,Paenibacillus
Paenibacillus nanensis,positive,Paenibacillus
Paenibacillus nasutitermitis,positive,Paenibacillus
Paenibacillus nebraskensis,positive,Paenibacillus
Paenibacillus oryzae,positive,Paenibacillus
Paenibacillus paeoniae,positive,Paenibacillus
Paenibacillus pasadenensis,positive,Paenibacillus
Paenibacillus pectinilyticus,positive,Paenibacillus
Paenibacillus pinihumi,positive,Paenibacillus
Paenibacillus pinistramenti,positive,Paenibacillus
Paenibacillus pocheonensis,positive,Paenibacillus
Paenibacillus polysaccharolyticus,positive,Paenibacillus
Paenibacillus pueri,positive,Paenibacillus
Paenibacillus puldeungensis,positive,Paenibacillus
Paenibacillus qinlingensis,positive,Paenibacillus
Paenibacillus radicis,positive,Paenibacillus
Paenibacillus rhizoplanae,positive,Paenibacillus
Paenibacillus rhizosphaerae,positive,Paenibacillus
Paenibacillus rhizovicinus,positive,Paenibacillus
Paenibacillus sabinae,positive,Paenibacillus
Paenibacillus sanguinis,positive,Paenibacillus
Paenibacillus sediminis,positive,Paenibacillus
Paenibacillus segetis,positive,Paenibacillus
Paenibacillus septentrionalis,positive,Paenibacillus
Paenibacillus shunpengii,positive,Paenibacillus
Paenibacillus siamensis,positive,Paenibacillus
Paenibacillus silvae,positive,Paenibacillus
Paenibacillus sinopodophylli,positive,Paenibacillus
Paenibacillus solanacearum,positive,Paenibacillus
Paenibacillus solani,positive,Paenibacillus
Paenibacillus soli,positive,Paenibacillus
Paenibacillus sonchi,positive,Paenibacillus
Paenibacillus sophorae,positive,Paenibacillus
Paenibacillus stellifer,positive,Paenibacillus
Paenibacillus tarimensis,positive,Paenibacillus
Paenibacillus telluris,positive,Paenibacillus
Paenibacillus terreus,positive,Paenibacillus
Paenibacillus terrigena,positive,Paenibacillus
Paenibacillus thailandensis,positive,Paenibacillus
Paenibacillus thalictri,positive,Paenibacillus
Paenibacillus thermoaerophilus,positive,Paenibacillus
Paenibacillus timonensis,positive,Paenibacillus
Paenibacillus tritici,positive,Paenibacillus
Paenibacillus typhae,positive,Paenibacillus
Paenibacillus vulneris,positive,Paenibacillus
Paenibacillus xerothermodurans,positive,Paenibacillus
Paenibacillus xinjiangensis,positive,Paenibacillus
Paenibacillus xylanilyticus,positive,Paenibacillus
Paenibacillus xylanisolvens,positive,Paenibacillus
Paenibacillus xylanivorans,positive,Paenibacillus
Paenibacillus yunnanensis,positive,Paenibacillus
Paenibacillus zanthoxyli,positive,Paenibacillus
Paeniclostridium sordellii,positive,Paeniclostridium
Paeniglutamicibacter antarcticus,positive,Paeniglutamicibacter
Paeniglutamicibacter gangotriensis,positive,Paeniglutamicibacter
Paeniglutamicibacter kerguelensis,positive,Paeniglutamicibacter
Paeniglutamicibacter psychrophenolicus,positive,Paeniglutamicibacter
Paenisporosarcina antarctica,positive,Paenisporosarcina
Paenisporosarcina indica,positive,Paenisporosarcina
Paenisporosarcina quisquiliarum,positive,Paenisporosarcina
Paludicola psychrotolerans,positive,Paludicola
Paludifilum halophilum,positive,Paludifilum
Paludirhabdus pumila,positive,Paludirhabdus
Paludirhabdus telluriireducens,positive,Paludirhabdus
Paraclostridium benzoelyticum,positive,Paraclostridium
Paradesulfitobacterium aromaticivorans,positive,Paradesulfitobacterium
Parafrigoribacterium mesophilum,positive,Parafrigoribacterium
Parageobacillus caldoxylosilyticus,positive,Parageobacillus
Parageobacillus thermantarcticus,positive,Parageobacillus
Parageobacillus thermoglucosidasius,positive,Parageobacillus
Parageobacillus toebii,positive,Parageobacillus
Paraliobacillus quinghaiensis,positive,Paraliobacillus
Paraliobacillus sediminis,positive,Paraliobacillus
Paraliobacillus zengyii,positive,Paraliobacillus
Paralkalibacillus indicireducens,positive,Paralkalibacillus
Paramaledivibacter caminithermalis,positive,Paramaledivibacter
Paraoerskovia marina,positive,Paraoerskovia
Paraoerskovia marina,positive,Paraoerskovia
Paraoerskovia sediminicola,positive,Paraoerskovia
Paratractidigestivibacter faecalis,positive,Paratractidigestivibacter
Parolsenella catena,positive,Parolsenella
Parviterribacter kavangonensis,positive,Parviterribacter
Parviterribacter multiflagellatus,positive,Parviterribacter
Patulibacter americanus,positive,Patulibacter
